Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
65.6;0.89;19:45:41:125;0;0;
65.8;0.89;19:45:41:325;0;0;
66.0;0.89;19:45:41:525;0;0;
66.2;0.89;19:45:41:725;0;0;
66.4;0.88;19:45:41:925;0;0;
66.6;0.88;19:45:42:125;0;0;
66.8;0.88;19:45:42:325;0;0;
67.0;0.88;19:45:42:525;0;0;
67.2;0.88;19:45:42:725;0;0;
67.4;0.88;19:45:42:925;0;0;
67.6;0.88;19:45:43:125;0;0;
67.8;0.88;19:45:43:325;0;0;
68.0;0.88;19:45:43:525;0;0;
68.2;0.88;19:45:43:725;0;0;
68.4;0.87;19:45:43:925;0;0;
68.6;0.87;19:45:44:125;0;0;
68.8;0.87;19:45:44:325;0;0;
69.0;0.87;19:45:44:525;0;0;
69.2;0.87;19:45:44:725;0;0;
69.4;0.87;19:45:44:925;0;0;
69.6;0.87;19:45:45:125;0;0;
69.8;0.86;19:45:45:325;0;0;
70.0;0.86;19:45:45:525;0;0;
70.2;0.86;19:45:45:725;0;0;
70.4;0.86;19:45:45:925;0;0;
70.6;0.86;19:45:46:125;0;0;
70.8;0.86;19:45:46:325;0;0;
71.0;0.86;19:45:46:525;0;0;
71.2;0.86;19:45:46:725;0;0;
71.4;0.86;19:45:46:925;0;0;
71.6;0.86;19:45:47:125;0;0;
71.8;0.86;19:45:47:325;0;0;
72.0;0.86;19:45:47:525;0;0;
